name:ID,:LABEL
3CE,Brand
ASIA,Brand
ASUS,Brand
Acer,Brand
Adidas,Brand
Anker,Brand
Apple,Brand
Aristino,Brand
Asus,Brand
BIGGBEN,Brand
Bee Gee,Brand
Biti's,Brand
Black Rouge,Brand
Bose,Brand
Cetaphil,Brand
Converse,Brand
Coolmate,Brand
Crep Protect,Brand
DINCOX,Brand
DUWA,Brand
Dell,Brand
Delonghi,Brand
Elise,Brand
Espoir,Brand
GOKING,Brand
Google,Brand
H&M,Brand
HAHANCO,Brand
HAMISHU,Brand
HP,Brand
Haint Boutique,Brand
Honor,Brand
Huawei,Brand
Huy Hoàng,Brand
HƯƠNG TÂM,Brand
Hương quế,Brand
IVY Moda,Brand
Innisfree,Brand
JBL,Brand
KENDO,Brand
Kindle,Brand
Kito,Brand
Kun93,Brand
LG,Brand
La Roche-Posay,Brand
Laneige,Brand
Lenovo,Brand
Levis,Brand
Local Brand,Brand
Lock&Lock,Brand
LuckyJQR,Brand
MAC,Brand
MRM Manlywear,Brand
MSI,Brand
Mango,Brand
Marc Fashion,Brand
May 10,Brand
Maybelline,Brand
Merzy,Brand
N6,Brand
NAVIVU,Brand
New Balance,Brand
Nike,Brand
Nothing,Brand
OEM,Brand
OPPO,Brand
ORHE,Brand
OnePlus,Brand
Owen,Brand
PaKaSa,Brand
Panasonic,Brand
Philips,Brand
Puma,Brand
Realme,Brand
Roman,Brand
Romand,Brand
SOMIANTON,Brand
SUNPOLO,Brand
Samsung,Brand
Senka,Brand
Some By Mi,Brand
Sony,Brand
Sunhouse,Brand
Tefal,Brand
The Face Shop,Brand
Trường Hải,Brand
Uniqlo,Brand
VAC,Brand
VINASAN,Brand
Vans,Brand
Viet Tien,Brand
Vivo,Brand
Xiaomi,Brand
Ximo,Brand
YUPPIES,Brand
Zara,Brand
