:START_ID(Product),:END_ID(Product),score:int
P0039,P0097,5
P0014,P0087,2
P0034,P0055,2
P0034,P0087,2
P0055,P0087,2
P0042,P0050,2
P0050,P0074,2
P0074,P0100,2
P0021,P0053,3
P0007,P0076,2
P0043,P0076,4
P0043,P0080,3
P0080,P0089,2
P0024,P0049,2
P0024,P0075,3
P0024,P0085,2
P0072,P0075,2
P0072,P0085,2
P0075,P0085,2
P0068,P0083,2
P0039,P0074,3
P0039,P0087,4
P0072,P0074,2
P0074,P0085,4
P0074,P0087,2
P0085,P0087,2
P0085,P0097,2
P0097,P0099,2
P0061,P0073,2
P0010,P0017,2
P0010,P0087,2
P0017,P0087,3
P0017,P0089,2
P0027,P0089,2
P0020,P0074,2
P0021,P0033,2
P0033,P0043,2
P0039,P0046,2
P0039,P0050,2
P0050,P0061,2
P0050,P0066,2
P0061,P0066,2
P0023,P0036,2
P0023,P0045,3
P0023,P0053,2
P0036,P0053,2
P0041,P0045,2
P0041,P0053,2
P0053,P0063,2
P0053,P0078,3
P0063,P0064,2
P0021,P0048,3
P0038,P0048,2
P0048,P0085,2
P0085,P0088,3
P0019,P0083,2
P0024,P0083,2
P0018,P0037,3
P0018,P0063,2
P0018,P0076,2
P0037,P0076,3
P0038,P0040,2
P0048,P0077,2
P0061,P0077,2
P0052,P0099,2
P0066,P0069,2
P0069,P0099,2
P0025,P0084,2
P0027,P0057,2
P0057,P0084,2
P0006,P0055,2
P0055,P0080,2
P0069,P0080,2
P0044,P0091,2
P0051,P0090,2
P0016,P0050,2
P0050,P0087,2
P0012,P0073,2
P0012,P0080,2
P0042,P0066,2
P0042,P0080,2
P0008,P0013,2
P0008,P0043,2
P0008,P0050,3
P0013,P0047,2
P0013,P0055,2
P0043,P0050,2
P0043,P0055,3
P0043,P0066,3
P0047,P0050,2
P0047,P0066,2
P0050,P0055,2
P0050,P0076,2
P0055,P0066,2
P0055,P0076,2
P0011,P0040,3
P0011,P0092,2
P0011,P0099,3
P0040,P0099,2
P0024,P0080,2
P0024,P0098,2
P0050,P0069,3
P0050,P0075,2
P0006,P0089,4
P0006,P0096,2
P0016,P0080,2
P0054,P0064,2
P0061,P0076,2
P0008,P0085,2
P0018,P0073,2
P0019,P0073,3
P0046,P0065,2
P0073,P0075,2
P0003,P0045,2
P0005,P0029,2
P0005,P0034,2
P0021,P0070,2
P0004,P0033,3
P0018,P0084,2
P0018,P0092,2
P0037,P0084,3
P0010,P0015,2
P0024,P0081,2
P0024,P0100,2
P0005,P0050,2
P0017,P0051,3
P0017,P0060,2
P0024,P0026,2
P0026,P0076,2
P0076,P0092,2
P0061,P0074,2
P0005,P0097,2
P0011,P0037,2
P0011,P0097,3
P0011,P0055,2
P0011,P0056,4
P0055,P0056,3
P0055,P0086,2
P0086,P0097,2
P0007,P0010,2
P0007,P0022,2
P0007,P0070,2
P0010,P0022,2
P0033,P0070,2
P0033,P0079,2
P0073,P0079,2
P0051,P0076,2
P0051,P0088,2
P0011,P0020,2
P0011,P0053,2
P0009,P0037,3
P0027,P0050,2
P0027,P0075,2
P0050,P0056,2
P0056,P0075,2
P0045,P0083,2
P0057,P0083,2
P0011,P0033,3
P0011,P0057,2
P0011,P0079,2
P0011,P0083,3
P0014,P0038,2
P0035,P0082,2
P0005,P0016,3
P0017,P0056,2
P0090,P0097,2
P0047,P0093,2
P0002,P0023,2
P0063,P0074,3
P0063,P0085,2
P0064,P0085,2
P0039,P0065,2
P0065,P0087,2
P0021,P0056,2
P0029,P0042,2
P0032,P0050,2
P0001,P0029,3
P0001,P0039,2
P0061,P0072,2
P0008,P0016,2
P0046,P0086,2
P0006,P0087,2
P0042,P0087,2
P0085,P0098,2
P0087,P0098,2
P0008,P0018,2
P0042,P0071,2
P0058,P0094,3
P0006,P0011,2
P0006,P0012,2
P0006,P0083,2
P0011,P0012,2
P0011,P0034,2
P0019,P0054,2
P0019,P0082,2
P0034,P0039,2
P0034,P0081,2
P0039,P0054,2
P0039,P0094,2
P0054,P0069,2
P0054,P0094,2
P0081,P0094,2
P0080,P0091,2
P0005,P0055,2
P0016,P0058,2
P0058,P0080,2
P0017,P0090,2
P0005,P0027,2
P0020,P0027,2
P0022,P0058,2
P0030,P0058,2
P0004,P0060,2
P0012,P0054,3
P0012,P0069,2
P0012,P0089,2
P0012,P0100,2
P0089,P0100,3
P0019,P0029,2
P0029,P0082,2
P0045,P0085,2
P0065,P0085,2
P0017,P0023,3
P0019,P0023,3
P0019,P0069,2
P0023,P0069,2
P0047,P0069,2
P0061,P0093,2
P0056,P0083,2
P0017,P0024,3
P0017,P0098,2
P0028,P0032,2
P0032,P0098,2
P0032,P0100,2
P0008,P0034,2
P0012,P0074,2
P0012,P0094,3
P0040,P0080,2
P0023,P0056,2
P0056,P0069,2
P0016,P0024,2
P0016,P0047,2
P0024,P0033,2
P0058,P0075,2
P0015,P0085,2
P0025,P0085,2
P0075,P0093,2
P0085,P0093,2
P0028,P0036,2
P0036,P0042,2
P0012,P0060,2
P0010,P0019,2
P0048,P0068,2
P0009,P0043,3
P0009,P0072,2
P0012,P0038,2
P0068,P0095,2
P0043,P0087,2
P0021,P0079,2
P0079,P0081,2
P0013,P0026,2
P0013,P0030,2
P0004,P0065,2
P0004,P0095,2
P0017,P0091,2
P0065,P0091,2
P0091,P0095,2
P0030,P0093,2
P0075,P0100,2
P0032,P0041,2
P0032,P0074,2
P0041,P0074,2
P0017,P0092,2
P0017,P0081,2
P0021,P0072,2
P0029,P0092,2
P0022,P0047,2
P0019,P0035,2
P0019,P0037,2
P0019,P0086,2
P0023,P0095,2
P0035,P0086,2
P0012,P0076,2
P0060,P0094,2
P0045,P0048,2
P0048,P0087,2
P0048,P0095,2
P0011,P0038,2
P0038,P0056,3
P0005,P0082,2
P0005,P0089,2
P0030,P0081,2
P0015,P0092,2
P0052,P0092,2
P0056,P0085,2
P0049,P0053,2
P0049,P0078,2
P0003,P0070,3
P0027,P0094,2
P0011,P0080,2
P0012,P0027,3
P0017,P0075,2
P0053,P0075,2
P0075,P0094,3
P0058,P0083,2
P0026,P0062,2
P0003,P0048,2
P0019,P0084,2
P0034,P0042,2
P0048,P0052,2
P0001,P0036,2
P0084,P0090,3
P0017,P0018,3
P0017,P0058,2
P0018,P0058,2
P0058,P0092,2
P0079,P0089,2
P0018,P0071,2
P0034,P0037,2
P0019,P0076,2
P0016,P0082,2
P0008,P0069,3
P0021,P0051,2
P0021,P0089,2
P0046,P0069,2
P0010,P0052,2
P0027,P0054,2
P0042,P0065,2
P0037,P0042,2
P0042,P0076,2
P0056,P0096,2
P0054,P0084,2
P0006,P0075,2
P0006,P0100,2
P0075,P0092,2
P0010,P0037,2
P0049,P0091,2
P0067,P0082,2
P0006,P0035,2
P0006,P0099,3
P0012,P0050,2
P0028,P0083,2
