:START_ID(Product),:END_ID(Color)
3e53bebb-d946-4aea-ab6b-fbe6367b1764,Nâu
c476c974-7838-489e-9d5b-bbec9772c949,Hồng
6dcbaf79-51f3-4a08-8a1c-d9d3d80f2006,Đỏ
ab07150d-4414-4efd-8878-8db6d8849e02,Đen
33aef91a-ad61-4324-ba17-cf396267f87d,Xanh
b748d9ff-a52b-444e-928d-37ebd43bdb0e,Cam
bfeef7c5-04b7-419f-ab67-b0add209f88f,Đỏ
f57db9b9-39fa-425f-be5e-b6f880dcb060,Đỏ
a358cd64-887c-4dc7-96f7-a52b8dbdf5da,Đen
edaad765-c3eb-4875-8d5f-d63eaea794b9,Đen
6bb8880b-4667-4195-8fed-01c1fe1188fb,Nâu
9db03ebf-6bd0-43de-a22a-dda7a0e37c02,Đen
66794919-7393-41fb-a7ee-8c93b7c3b4ed,Hồng
7f7f2481-60e6-4b3f-8304-57a73d8777f7,Đỏ
f6c5f3c6-1c5c-465a-9b91-52663578b4a2,Nâu
5f35411a-7cff-4c6d-b577-4ed6a30fc7d7,Nâu
4160a6f9-a801-4da0-8430-bb0fda2bd520,Đỏ
3630510e-74e4-4826-a0ee-2acb86196287,Nâu
18cbffa7-76ce-4a4e-90ac-7b99f479cd38,Xám
96be079c-2b71-4268-8f43-8cd663b57cef,Đỏ
030dc729-1a7b-4cd4-81f2-c059019a03eb,Trắng
a39ac4d7-b1f8-4703-be69-d6040ed36e07,Trắng
d2a9c626-556e-4f3c-a88f-bfae62d044bc,Đỏ
21ada025-d1fc-489b-b0cb-c14a28d3b558,Xám
a656ecc9-821d-4562-aa4a-7e5a6ab47aa7,Trắng
3eeb8f43-d2a7-422e-bd0a-ed32abcb0d4b,Đỏ
346199b1-3a29-4dd8-99a8-e26d315bbc53,Đen
c1c495ba-8f89-4529-8534-0073b5671c17,Đen
efc64c77-73ba-454e-986a-4d3baa46db59,Đỏ
d613a9c3-6cbe-4f98-a2ed-5313dad676a1,Xanh
7fb1c483-a3ba-4b61-9f72-945733140b1e,Đỏ
fbe4e8a7-ccde-4fc8-b773-1fd80cc47a5d,Đỏ
a0c189a7-e320-4615-9c46-f8224d52f651,Đen
88211430-7eec-48b3-8941-f5d5d6750254,Xanh
8d1e9bf6-7112-4d5a-a306-50a6730103c1,Trắng
56e5e236-2a25-42c2-b352-d012eff97e33,Cam
24a7b21f-fa25-4f25-b74e-62866d210584,Đen
ae7a4139-3916-4a12-adc6-9bb49d7da6b3,Đỏ
df8b0e0d-68e4-4db3-b983-4bec9292f6da,Xanh
187730ee-44a9-4a49-8c92-48e22fb0cedf,Trắng
95737292-469b-4f75-9694-a30313452df1,Trắng
0d9c1ffa-d3bf-4bde-89e4-764a6aa9e2b8,Trắng
d002f175-4401-4252-b65f-1b583d5763c0,Trắng
7901ac50-ac75-4a5b-ac3e-14efc368fc0f,Cam
a9e0d9f5-1321-4068-a5d0-e336104e07cf,Đen
91800a5b-2830-4dd0-897d-387c3833b248,Hồng
b2b5a843-b2f5-4044-9480-1b9acb59609f,Đen
6f5c839b-d4fb-414f-840a-9ac9a855f21c,Đen
025937aa-df39-496d-979a-bee8fa43e6a8,Đen
7923646c-c054-4989-aca5-df1510200c86,Vàng
b0db654a-661b-46ce-8257-8837dd9d4f9b,Xám
c178e421-e158-4fbe-8181-8ce59c1067c1,Đen
ac50e534-5477-48f1-b806-dfce494733c2,Nâu
ca1528cf-b5ca-4948-9b4e-cd7b452fa24d,Hồng
275b832b-6a89-43ab-8b52-c6a3f24898b4,Đỏ
f412bf35-11e6-4546-92ab-2ec99f4c4c94,Đen
7fcc2572-908d-42d5-8e57-2fc3f5d196f4,Trắng
226834df-0e95-49c4-892d-00670119a80f,Đỏ
d62cd1aa-7ad7-4a0a-be0d-2a73859808de,Đỏ
32ee7528-8c4c-40c9-9ff9-fe85645e316f,Đỏ
e82ac247-2370-4887-87e5-9668e6f27987,Trắng
5bcbc974-76f3-44ea-acf7-e53983e5a6db,Xanh
6f791b99-e004-48df-b927-03d2612bf02d,Đen
b772dca1-17ec-42c7-adb1-ce2dd08c7579,Hồng
7a52ee34-ed9a-4e29-8b17-cb88a7fae75c,Nâu
c83ef0d1-ff0e-452f-bbb7-e98a807c79bb,Đen
9bb726ce-fa03-41bb-beea-fab191b9f5fd,Xanh
ab9ebc45-e455-4286-a1b3-607b95e4b13b,Đỏ
8d8b3f6a-8555-4df7-9602-cf73fe9b4b5c,Đen
806ba711-f056-453b-b4c5-178f3aff33b2,Đỏ
d97336f2-244a-4e2d-a87f-89ded939fdea,Xanh
b799652b-8d3b-44ca-8a98-ce0b96abdddd,Nâu
663a0d72-6dd9-407a-91b8-1587da0454aa,Đỏ
bfe2e405-d607-4f0b-b0a5-41b0cc83dd18,Hồng
be5e125e-0ca1-4977-a9cf-dd499f136724,Đen
cc6e695d-8cb3-4d38-93bc-5b3ee99f042d,Đỏ
0a499197-08c7-4997-a7b9-f6cca4fdee03,Cam
977b63ae-221f-4388-9b10-84e18db6828e,Đỏ
fd3c82d6-1ac1-4528-9d3b-7a25ba461569,Cam
6c000eb9-e2b7-4a5e-ad65-510a0cedeefb,Hồng
3dd2f06e-f8fe-414a-b4e5-dae3320ffa2b,Xanh
21a66374-41d0-4422-b9d2-62893bd4c222,Đỏ
e40b830d-f735-4142-924f-1c1304bf5287,Đỏ
e99dc624-8258-4946-8e3b-79bf4874544b,Đỏ
b68b55bb-3c27-4455-8768-5c6a76c5567a,Đỏ
22f99264-139b-4521-976f-df4c84fa7ee8,Hồng
84fbbefd-015a-4d7a-a0bc-949293ff2283,Hồng
1e681031-634d-4525-b963-5551a07e5a0b,Hồng
4ae0dd17-73a3-40b7-9f2f-e928c6da8fc0,Đỏ
ccc2f210-17de-425b-8e7c-e0a6a4c7a736,Nâu
3c0a2f5a-22bb-4a17-9ef6-36768d08833b,Hồng
64fcbf4e-f7a5-4939-8c2e-02f7e3d65156,Đỏ
169438ef-3808-46c3-9191-8a088e344acf,Đỏ
9ddf0e91-798d-45f4-a5c4-0042747b0303,Đỏ
8ba82528-47b2-43d3-908c-276882830135,Đen
c603de83-e37f-4172-9610-05ce59dcede6,Đen
7d2d31c2-157b-4591-a59a-58010831f359,Đen
d659c7a3-d6d9-4107-8307-ea069da06115,Đỏ
873793dd-6b1d-49f5-8f7a-25ce58313ab8,Cam
18e9aef6-01d9-4a94-876e-561ba8f3f529,Vàng
58dbc421-80c7-4606-94ab-bd1d9ffdd8df,Cam
93968ebe-35b1-4e7d-a35e-f4a034551f2b,Đỏ
3986ab21-482a-4ead-8712-34163491085f,Đỏ
0f3b8830-5242-4060-a112-b7d85ed81ccf,Cam
5e4b8de2-508d-46d7-8ac9-3af239b0b559,Nâu
05608c1a-525c-41ed-b123-7dceb51dfad1,Trắng
0e605ac4-eaa6-4cfc-a9c7-0b1a9f4b735f,Đỏ
d54688ff-2a38-4e2b-9692-5194d73a3c9f,Nâu
4cb4fdd5-7360-4a6f-888e-e86661da5f55,Trắng
60e4d54a-9e0c-4960-8f38-89ecbf451610,Cam
541c97c5-720c-4d3e-a4e7-8b02bf857771,Đỏ
4db93d33-3371-4524-bd47-d84338c4101d,Xanh
085a810e-b328-475d-8c0e-30e4671b0ce5,Trắng
e74fc623-15ba-4525-843a-dd2683e8d1f0,Đỏ
cdd5990f-b39e-42f4-be02-d3f4d4b8aeaa,Trắng
236e97cd-bd20-41f9-841e-3ada8290cdfe,Trắng
7b9aa126-7ebd-4744-8c08-09072a914de5,Đen
625cc3d4-dd8d-4811-a25a-48e98ccd61fe,Trắng
b6b445b5-e3b5-4291-9d6e-e9d2c7ad4fea,Đỏ
7844a2d5-5eec-459d-a724-8390e6e087d1,Xanh
12e0f0fe-f9be-4bae-8cd4-55c8d8a58310,Xám
